Official DOE Name	Organization	Type of School	Street	City	State	Teams	Total team leads	Total team members	Expeditions created	Expeditions published	Lessons viewed	Lessons logged	Lessons reviewed	Lessons created (forked or new)	Total research posters published by all team members	Total research posters published by all team leads	Events registered	Events attended
	Wantagh Schools		2667 Bayview Ave.	Wantagh	NY	1	2	0	0	0	0	0	0	0	0	0	2	0
	P.S. 11Q		54-25 Skillman Avenue	Woodside	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	Sarah Lawrence College Center for the Urban River at Beczak		35 Alexander Street	Yonkers	NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	PNW BOCES		200 boces dr	yorktown	New York	1	1	0	0	0	2	0	0	0	0	0	0	0
	Curtis High School				NY	1	2	19	4	1	8	0	0	0	0	0	3	0
	Pace University				NY	12	25	30	1	0	16	0	0	0	0	0	1	1
	Marsh Avenue Expeditionary Learning School				NY	1	2	1	0	0	1	0	0	0	0	0	0	0
	Sebago Canoe Club				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	MS8 The Robert Fulton School				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Spence School				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Fort Hamilton High School				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	The Berkeley Carroll School				NY	5	5	1	2	2	27	0	0	0	0	0	2	1
	IKEA Brooklyn				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Poly Prep Country Day School				NY	0	1	0	0	0	0	0	0	0	0	0	0	0
	Good Shepherd Services				NY	12	17	24	3	0	34	0	0	0	0	0	10	2
	MS 51				NY	2	2	36	4	4	16	0	0	0	0	0	1	1
	Elmont Memorial High School				NY	1	2	1	0	0	0	0	0	0	0	0	0	0
	Richard R. Green High School of Teaching				NY	0	1	0	0	0	1	0	0	0	0	0	0	0
Dr. Susan S. McKinney Secondary School of the Arts	McKinney Secondary School of the Arts				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Home Schoolers of Staten Island				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Urban Assembly School for Wildlife Conservation				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	YABC @ Tottenville High School				NY	1	2	1	0	0	0	0	0	0	0	0	0	0
	MS 244 New School for Leadership and Journalism				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	The Beacon School				NY	1	2	0	0	0	7	0	0	0	0	0	0	0
	Richmond County Yacht Club				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	IS 24 Myra Barnes				NY	1	2	0	0	0	0	0	0	0	0	0	1	1
	Cultural Research Divers				NY	0	1	0	0	0	1	0	0	0	0	0	0	0
	Princess Bay Marina				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	University of Maryland, Center for Environmental Science				NY	1	2	1	0	0	3	0	0	0	0	0	1	0
	MS319/FRIENDS OF SHERMAN CREEK/CHILDRENS AID SOCIETY				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Locust Point Yacht Club				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	NYC Lab School for Collaborative Studies				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	New York City Department of Education				NY	6	13	2	2	2	7	0	0	0	0	0	2	1
	IS 68 Isaac Bildersee				NY	4	4	0	0	0	9	0	0	0	0	0	2	1
	NYC Parks Department				NY	2	4	0	0	0	0	0	0	0	0	0	1	0
	Manhattan Kayak Company				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	St. Clare's School				NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	New Visions Charter High School For Advanced Math & Science II				NY	1	2	18	2	0	1	0	0	0	0	0	0	0
	Staten Island Museum				NY	2	8	1	2	0	0	0	0	0	0	0	0	0
	Urban Assembly New York Harbor School				NY	5	11	0	2	0	29	0	0	0	0	0	2	2
	Sleepy Hollow Middle School				NY	1	2	1	1	0	0	0	0	0	0	0	0	0
	Wildlife Conservation Society, New York Aquarium				NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	Brooklyn Bridge Park				NY	1	5	1	0	0	3	0	0	0	0	0	0	0
	Randalls Island Alliance				NY	1	2	1	2	0	1	0	0	0	0	0	0	0
	YMCA Off-Site: Julia Richman Educational Complex Site Director, Teen Program				NY	2	4	0	1	0	0	0	0	0	0	0	0	0
	West End Secondary School				NY	1	2	8	4	0	44	2	1	0	0	0	0	0
	SUNY Maritime				NY	2	4	5	12	0	0	0	0	0	0	0	0	0
	Summit Academy				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	New Dorp High School				NY	2	4	1	1	0	0	0	0	0	0	0	1	0
	South Street Seaport Museum				NY	1	2	9	1	0	1	0	0	0	0	0	0	0
	Harbor Estuary Program				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Solar One				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Rye City School District				NY	3	6	13	9	1	0	0	0	0	0	0	1	0
	Human Impacts Institute				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Edible Manhattan				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Compass Charter School				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Kings Plaza Marina				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	New York Restoration Project				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Warby Parker				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	New York Harbor Foundation				NY	5	14	2	7	0	275	0	0	78	1	1	6	5
	DCTV				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Riverdale Yacht Club				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	La Marina Restaurant				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Empire Dragon Boat				NY	1	2	3	2	0	0	0	0	0	0	0	1	1
	Little Red School House & Elisabeth Irwin High School				NY	1	2	2	1	0	18	0	0	0	0	0	0	0
	Riverside Park Trust				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Harvest Collegiate High School				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	John Dewey High School				NY	1	3	0	1	0	1	0	0	0	0	0	13	12
	Protectors of Pine Oak Woods inc.				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	IGY Marinas				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	The River Project				NY	1	3	0	0	0	1	0	0	0	0	0	0	0
	Monsignor McClancy Memorial High School				NY	1	2	11	1	0	0	0	0	0	0	0	2	0
	Stuyvesant High School				NY	3	3	2	9	8	0	0	0	0	0	0	1	0
	NY State Dept. of Environmental Conservation				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Rockaway Beach Nonprofits (Arts n Parts, Edgemere)				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Marina 59				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Lower East Side Ecology Center				NY	1	1	0	0	0	5	0	0	0	0	0	1	1
	Miller's Launch				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	MS 126 Jacob Riis				NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	The Battery Conservancy, Battery Urban Farm				NY	3	4	5	0	0	2	0	0	0	0	0	1	0
	Flushing International High School				NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	Statue Cruises				NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	PS/IS 276 Battery Park Community School				NY	1	2	5	2	0	0	0	0	0	0	0	0	0
	Tottenville Marina				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	LIC Community Boathouse				NY	2	10	9	8	0	0	0	0	0	0	0	3	2
	Crave Fishbar				NY	2	2	6	1	0	0	0	0	0	0	0	0	0
	Hastings High School				NY	1	2	2	17	15	0	0	0	0	0	0	1	1
	CUNY Queens College				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	Hudson River Park				NY	4	8	3	9	6	2	0	0	0	0	0	4	2
	Rockaway Waterfront Alliance				NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	New York University				NY	2	3	3	5	0	0	0	0	0	0	0	1	0
	American Museum of Natural History					4	3	17	2	2	1	0	0	0	0	0	3	1
	NYC I School				NY	2	4	0	0	0	13	0	0	0	0	0	2	1
	New York Academy of Sciences				NY	0	1	0	0	0	2	0	0	0	0	0	0	0
