Official DOE Name	Organization	Type of School	Street	City	State	Teams	Total team leads	Total team members	Expeditions created	Expeditions published	Lessons viewed	Lessons logged	Lessons reviewed	Lessons created (forked or new)	Total research posters published by all team members	Total research posters published by all team leads	Events registered	Events attended
M.S. 839	MS 839		713 Caton Ave.	Brooklyn	NY	0	0	0	0	0	0	0	0	0	0	0	0	0
P.S./I.S. 104 The Fort Hamilton School	PS/IS 104		9115 5th avenue	Brooklyn	Ny	4	6	0	0	0	2	0	0	0	0	0	14	9
	Uncommon Collegiate Charter High School		832 Marcy Ave	Brooklyn	NY	3	2	15	1	0	4	0	0	0	0	0	1	0
W. H. Maxwell Career and Technical Education High School	WH Maxwell		145 Pennslyvania Ave, 102	Brooklyn	New York	1	2	0	0	0	0	0	0	0	0	0	1	1
I.S. 281 Joseph B Cavallaro	IS 281 Joseph Cavallaro		8787 24th AVE	Brooklyn	NY	1	2	1	3	3	25	0	0	0	0	0	6	3
All City Leadership Secondary School	ALL CITY LEADERSHIP SECONDARY SCHOOL		321 PALMETTO STREET	Brooklyn	New York	5	10	0	0	0	0	0	0	0	0	0	1	1
P.S. 371 - Lillian L. Rashkis	371K Lillian Rashkis		335 37th Street	Brooklyn	NY	10	2	10	3	0	33	0	0	0	0	0	5	2
The Academy of Urban Planning and Engineering	The Academy of Urban Planning		400 Irving Ave	Brooklyn	NY	1	2	8	2	0	14	0	0	0	0	0	1	1
J.H.S. 088 Peter Rouget	MS 88 The Peter Rouget School		544 7th Avenue	Brooklyn	NY	19	19	172	14	2	53	0	0	4	0	0	23	15
P.S. 032 Samuel Mills Sprole	PS 32 The Samuel Mills Sprole School in Carroll Gardens, Brooklyn		317 Hoyt St	Brooklyn	New York	1	2	4	1	0	0	0	0	0	0	0	0	0
Sunset Park Prep	Sunset Park Prep - MS 821		4004 4th Ave	Brooklyn	NY	4	7	0	0	0	14	0	0	0	0	0	18	16
J.H.S. 062 Ditmas	Ditmas IS62		700 Cortelyou Road	Brooklyn	NY	2	4	0	0	0	0	0	0	0	0	0	0	0
	Packer Collegiate Institute		170 Joralemon Street	Brooklyn	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
Mott Hall IV	Mott Hall IV		1137 Herkimer St	Brooklyn	NY	0	1	0	0	0	0	0	0	0	0	0	0	0
Dr. Susan S. McKinney Secondary School of the Arts	Dr. Susan S. McKinney Secondary School of the Arts (13K265)		101 Park Avenue	Brooklyn	NY	3	4	42	5	1	17	2	0	1	1	1	7	3
	Girl Scouts NY		129 Saint James Place	Brooklyn	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
The Brooklyn New School, P.S. 146	Brooklyn New School /PS 146		610 Henry	Brooklyn	NY	1	3	9	1	0	0	0	0	0	0	0	0	0
Franklin Delano Roosevelt High School	Franklin Delano Roosevelt High School		5800 30th Avenue	Brooklyn	New York	1	4	1	0	0	0	0	0	0	0	0	1	1
I.S. 340	M.S. 340-North Star Academy		227 Sterling Place	Brooklyn	New York	1	2	0	0	0	0	0	0	0	0	0	0	0
P.S. 288 The Shirley Tanyhill	PS/IS 288 Shirley Tanyhill School		2950 W 25th Street	Brooklyn	NY	0	0	0	0	0	0	0	0	0	0	0	0	0
Williamsburg Preparatory School	Williamsburg Preparatory High School		257 N. 6th St.	Brooklyn	NY	1	2	27	6	5	2	0	0	0	0	0	0	0
John Ericsson Middle School 126	John Ericsson Middle School 126, Magnet School of environmental engineering		424 Leonard Street	Brooklyn	NY	2	4	21	4	0	92	0	0	0	0	0	9	3
Manhattan International High School	The Manhattan International High School		317 East 67th Street	Brooklyn	NY	1	2	0	0	0	3	0	0	0	0	0	2	0
Sunset Park High School	Sunset Park High School		153 35th St	Brooklyn	NY	3	3	26	3	0	4	0	0	0	0	0	0	0
	City Parks Foundation		155 Bay Street	Brooklyn	NY	3	4	2	0	0	108	0	0	0	0	0	19	14
	MS 266 Park Place Community School		31 New York Av	Brooklyn	NY	0	1	0	0	0	0	0	0	0	0	0	0	0
	Ps 326		1800 Utica ave	Brooklyn	Ny	1	2	0	0	0	0	0	0	0	0	0	0	0
	I.S. 318 Eugenio Maria de Hostos		101 Walton St.	Brooklyn	NY	1	2	0	0	0	0	0	0	0	0	0	1	1
	IS 171 Abraham Lincoln		528 Ridgewood Ave	Brooklyn	NY	1	2	0	0	0	0	0	0	0	0	0	0	0
	Trilok Fusion Arts		143 Waverly Ave	Brooklyn	NY	4	6	2	0	0	9	0	0	0	0	0	3	1
	Philippa Schuyler Middle School I.S. 383		1300 Greene Avenue	Brooklyn	NY	1	2	0	0	0	0	0	0	0	0	0	1	0
	BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES)		251 MCDOUGAL STREET	Brooklyn	New York	2	4	0	0	0	1	0	0	0	0	0	1	1
	PortSide NewYork		P.O. Box 195 Red Hook Station	Brooklyn	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	Brooklyn Friends		375 Pearl St	Brooklyn	NY	0	0	0	0	0	0	0	0	0	0	0	0	0
	CUNY Brooklyn College		2900 Bedford Avenue	Brooklyn	NY	1	2	0	0	0	2	0	0	0	0	0	0	0
	The Packer Collegiate Institute		170 Joralemon Street	Brooklyn	NY New York	1	1	0	0	0	0	0	0	0	0	0	1	1
	PS147		325 Bushwick Avenue	Brooklyn	NY	1	2	0	0	0	6	0	0	0	0	0	0	0
	P.S. 207 Elizabeth G. Leary		4011 Fillmore Ave,	Brooklyn	New York	1	1	0	0	0	0	0	0	0	0	0	0	0
	School of the Future Brooklyn 19k663		574 Dumont Ave	Brooklyn	NY	1	1	0	0	0	13	0	0	0	0	0	0	0
